ISO_3 country name,Country name,Income group,WHO Region,Cluster,Cluster_name
ALB,Albania,Upper middle income,European Region,1,Rich-country car culture
DZA,Algeria,Lower middle income,African Region,0,Developing-country road profile
ATG,Antigua and Barbuda,High income,Region of the Americas,2,Low-motorization mixed
ARG,Argentina,Upper middle income,Region of the Americas,1,Rich-country car culture
ARM,Armenia,Upper middle income,European Region,0,Developing-country road profile
AUS,Australia,High income,Western Pacific Region,1,Rich-country car culture
AUT,Austria,High income,European Region,1,Rich-country car culture
AZE,Azerbaijan,Upper middle income,European Region,0,Developing-country road profile
BHS,Bahamas,High income,Region of the Americas,0,Developing-country road profile
BHR,Bahrain,High income,Eastern Mediterranean Region,2,Low-motorization mixed
BGD,Bangladesh,Lower middle income,South-East Asia Region,0,Developing-country road profile
BRB,Barbados,High income,Region of the Americas,0,Developing-country road profile
BLR,Belarus,Upper middle income,European Region,1,Rich-country car culture
BEL,Belgium,High income,European Region,1,Rich-country car culture
BLZ,Belize,Upper middle income,Region of the Americas,0,Developing-country road profile
BEN,Benin,Lower middle income,African Region,0,Developing-country road profile
BTN,Bhutan,Lower middle income,South-East Asia Region,3,Atypical reporting
BOL,Bolivia (Plurinational State of),Lower middle income,Region of the Americas,0,Developing-country road profile
BIH,Bosnia and Herzegovina,Upper middle income,European Region,1,Rich-country car culture
BWA,Botswana,Upper middle income,African Region,0,Developing-country road profile
BRA,Brazil,Upper middle income,Region of the Americas,1,Rich-country car culture
VGB,British Virgin Islands,High income,Region of the Americas,2,Low-motorization mixed
BGR,Bulgaria,Upper middle income,European Region,1,Rich-country car culture
BFA,Burkina Faso,Low income,African Region,0,Developing-country road profile
BDI,Burundi,Low income,African Region,0,Developing-country road profile
CPV,Cabo Verde,Lower middle income,African Region,0,Developing-country road profile
KHM,Cambodia,Lower middle income,Western Pacific Region,0,Developing-country road profile
CMR,Cameroon,Lower middle income,African Region,0,Developing-country road profile
CAN,Canada,High income,Region of the Americas,1,Rich-country car culture
CAF,Central African Republic,Low income,African Region,0,Developing-country road profile
TCD,Chad,Low income,African Region,0,Developing-country road profile
CHL,Chile,High income,Region of the Americas,1,Rich-country car culture
CHN,China,Upper middle income,Western Pacific Region,1,Rich-country car culture
