ISO_3 country name,Country name,Income group,WHO Region,Year reported fatalities,Reported fatalities gender distribution  (% Males),Reported fatalities gender distribution  (%Females),Reported fatalities user distribution  (% powered light vehicles),Reported fatalities user distribution  (% powered 2/ wheelers),Reported fatalities user distribution  (% pedestrian),Reported fatalities user distribution  (% cyclist),Reported fatalities user distribution  (% other),WHO-estimated rate per 100 000 population,Total paved kilometres (year),Year total paved kilometres,Total registered vehicles ,Total registered vehicles rate per 100 000 pop,Cars and 4-wheeled light vehicles ,Powered 2- and 3-wheelers ,Heavy trucks ,Buses ,Year total registered vehicles,Year by fatality reduction target ,Adherence to one or more of the 7 UN road safety conventions,Legislation setting appropriate urban speed limits for passenger cars and motorcycles,Legislation on drink driving,Legislation requiring adult motorcycle riders to wear a helmet properly fastened that meets appropriate standards,Legislation on the use of seat belts for all motor vehicle occupants (UNVTI 8a),Legislation requiring the use of child safety restraint systems that meet appropriate standards,2010 WHO-estimated rate per 100 000 population (update),2016 WHO-estimated rate per 100 000 population (update)
ALB,Albania,Upper middle income,European Region,2021,78.7,21.3,57.4,5.6,19.3,6.6,11.1,10.8,16646.0,2021.0,740669.0,25945.50759972116,593280.0,44788.0,19542.0,7875.0,2021.0,2030.0,6,3,2,2,3,2,13.3,12.8
DZA,Algeria,Lower middle income,African Region,2021,79.0,20.74,0.0,0.0,25.0,0.0,75.0,18.3,16646.0,2021.0,8720015.0,19738.37910022527,5432965.0,371985.0,510341.0,125657.0,2021.0,2030.0,1,3,3,2,3,1,22.4,21.2
ATG,Antigua and Barbuda,High income,Region of the Americas,2021,86.0,14.0,57.0,0.0,43.0,0.0,0.0,7.5,16646.0,2021.0,46722.0,50120.68355163647,37540.0,878.0,3354.0,1602.0,2021.0,2030.0,0,2,1,1,1,1,5.8,8.8
ARG,Argentina,Upper middle income,Region of the Americas,2021,79.0,20.0,31.6,46.3,10.9,3.4,7.799999999999999,8.8,40188.0,2019.0,26413085.0,58336.9334126676,16754756.0,9181655.0,244717.0,231957.0,2021.0,2030.0,1,1,2,3,3,3,12.8,13.2
ARM,Armenia,Upper middle income,European Region,2021,75.5,24.5,68.19999999999999,0.0,31.8,0.0,0.0,13.6,16646.0,2021.0,2371968.5,30510.00001841328,1670848.0,244394.0,95786.0,19225.0,2021.0,2030.0,4,1,2,2,3,1,16.1,17.5
AUS,Australia,High income,Western Pacific Region,2021,74.0,26.0,0.0,17.0,12.0,4.0,67.0,4.5,381185.0,2015.0,20142942.0,77708.70274778965,18270132.0,913803.0,662245.0,97060.0,2021.0,2030.0,3,3,3,3,3,2,6.6,5.5
AUT,Austria,High income,European Region,2021,79.0,20.74,44.75,24.31,10.22,13.81,6.91,4.6,2249.0,2021.0,2371968.5,30510.00001841328,5166333.0,877045.0,54646.0,10136.0,2021.0,2030.0,6,3,3,2,3,3,6.8,5.1
AZE,Azerbaijan,Upper middle income,European Region,2021,79.0,21.0,51.8,0.9,42.0,0.9,4.4,17.2,18816.0,2021.0,1591786.0,15434.76422749092,1361560.0,5284.0,161279.0,30815.0,2021.0,2030.0,5,1,1,2,1,1,24.3,21.0
BHS,Bahamas,High income,Region of the Americas,2021,79.0,20.74,0.0,0.0,28.0,0.0,72.0,16.2,16646.0,2021.0,2371968.5,30510.00001841328,1670848.0,244394.0,95786.0,19225.0,2021.0,2030.0,1,3,1,2,3,1,12.1,13.4
BHR,Bahrain,High income,Eastern Mediterranean Region,2021,92.0,8.0,24.19,16.13,22.58,12.9,24.2,8.1,9004.0,2022.0,737510.0,50401.67023744844,627371.0,23457.0,22663.0,14235.0,2021.0,2030.0,2,1,1,1,2,1,14.2,6.7
