ISO_3 country name,Country name,Income group,WHO Region,PC1,PC2,Cluster,Cluster_name,anomaly_label,is_anomaly,anomaly_score
ALB,Albania,Upper middle income,European Region,0.6041856010230886,-1.9029709309383263,1,Rich-country car culture,1,False,-0.1149571769554617
DZA,Algeria,Lower middle income,African Region,-0.005618795255123782,2.5156153441001066,0,Developing-country road profile,1,False,-0.07531713647096777
ATG,Antigua and Barbuda,High income,Region of the Americas,-2.917391632884973,-3.038031003293452,2,Low-motorization mixed,1,False,-0.007022939833956077
ARG,Argentina,Upper middle income,Region of the Americas,2.654828671817124,1.552065762214346,1,Rich-country car culture,1,False,-0.09017043905446559
ARM,Armenia,Upper middle income,European Region,-0.26432834025922564,-0.39903754059226554,0,Developing-country road profile,1,False,-0.15133005573881114
AUS,Australia,High income,Western Pacific Region,3.9073658792614507,1.092191105595573,1,Rich-country car culture,1,False,-0.02692220905838494
AUT,Austria,High income,European Region,2.873996545039208,-2.0540726817186843,1,Rich-country car culture,1,False,-0.1101749981432334
AZE,Azerbaijan,Upper middle income,European Region,-2.2112686468358627,0.45403206290293635,0,Developing-country road profile,1,False,-0.0921027072420893
BHS,Bahamas,High income,Region of the Americas,-0.6250594985571342,1.122317885679877,0,Developing-country road profile,1,False,-0.10716283317832875
BHR,Bahrain,High income,Eastern Mediterranean Region,-1.118185194435772,-0.5433755493452957,2,Low-motorization mixed,1,False,-0.07378699520045384
BGD,Bangladesh,Lower middle income,South-East Asia Region,-0.20643909737436492,1.4157266974371001,0,Developing-country road profile,1,False,-0.12066654489288298
BRB,Barbados,High income,Region of the Americas,0.2837047416048965,-0.4652157589534438,0,Developing-country road profile,1,False,-0.12218713162908124
BLR,Belarus,Upper middle income,European Region,1.149108606698692,-1.3585013999266002,1,Rich-country car culture,1,False,-0.09951442752933054
BEL,Belgium,High income,European Region,3.6164431847109806,-1.3206961986337147,1,Rich-country car culture,1,False,-0.11215237404818018
BLZ,Belize,Upper middle income,Region of the Americas,-1.2066910568721063,1.1388794112552214,0,Developing-country road profile,1,False,-0.12677777061872464
BEN,Benin,Lower middle income,African Region,-2.0156112596144338,2.2870373313778516,0,Developing-country road profile,1,False,-0.07721069561531158
BTN,Bhutan,Lower middle income,South-East Asia Region,-0.7095448751652627,-2.2564516403644186,3,Atypical reporting,1,False,-0.0038089789263306972
BOL,Bolivia (Plurinational State of),Lower middle income,Region of the Americas,-0.3902140582974532,1.4517798539795532,0,Developing-country road profile,1,False,-0.08566886632354526
BIH,Bosnia and Herzegovina,Upper middle income,European Region,0.3724866050221899,-1.6453756608302141,1,Rich-country car culture,1,False,-0.12582297606172815
BWA,Botswana,Upper middle income,African Region,-0.6795973086619155,-0.7241238935830369,0,Developing-country road profile,1,False,-0.11652912613051553
BRA,Brazil,Upper middle income,Region of the Americas,3.401240934260264,4.008983558845766,1,Rich-country car culture,1,False,-0.007728571336815704
VGB,British Virgin Islands,High income,Region of the Americas,-1.6296175620006654,-0.5335457544673975,2,Low-motorization mixed,-1,True,0.004263579489655833
BGR,Bulgaria,Upper middle income,European Region,2.201466330563852,-0.7554573544336584,1,Rich-country car culture,1,False,-0.11265613995179519
BFA,Burkina Faso,Low income,African Region,-0.24388864356360399,0.7985019650222867,0,Developing-country road profile,1,False,-0.14185306652465274
BDI,Burundi,Low income,African Region,-0.5369258325155608,0.4036151913840679,0,Developing-country road profile,1,False,-0.1541228711560389
CPV,Cabo Verde,Lower middle income,African Region,-2.0256741874584665,0.04841522942667066,0,Developing-country road profile,1,False,-0.1254600664809729
KHM,Cambodia,Lower middle income,Western Pacific Region,-1.278454876985275,1.786505878561091,0,Developing-country road profile,1,False,-0.08493633360898689
CMR,Cameroon,Lower middle income,African Region,-2.1014338853387975,0.3179001341632866,0,Developing-country road profile,1,False,-0.14625068569225103
CAN,Canada,High income,Region of the Americas,3.555083971000808,-0.034602565140948074,1,Rich-country car culture,1,False,-0.0827950522090351
CAF,Central African Republic,Low income,African Region,-1.6530502911927578,2.4337953249218884,0,Developing-country road profile,1,False,-0.07263672076004596
TCD,Chad,Low income,African Region,-3.116302676532454,0.587390539741711,0,Developing-country road profile,1,False,-0.08961062086012522
CHL,Chile,High income,Region of the Americas,2.16323395114146,0.22012410703928886,1,Rich-country car culture,1,False,-0.1227428773093518
CHN,China,Upper middle income,Western Pacific Region,2.381221417054529,2.964136287745885,1,Rich-country car culture,1,False,-0.014090471353215284
COL,Colombia,Upper middle income,Region of the Americas,1.4352707644336966,2.230979751474985,0,Developing-country road profile,1,False,-0.07994708527978744
COM,Comoros,Lower middle income,African Region,-0.9323136878166318,0.7505196368226578,0,Developing-country road profile,1,False,-0.07002581621422854
COG,Congo,Lower middle income,African Region,-3.880619250680123,-2.169166596579064,2,Low-motorization mixed,1,False,-0.0848560139298355
COK,Cook Islands,,Western Pacific Region,-4.723046183810691,-3.7461224232969927,2,Low-motorization mixed,-1,True,0.047524983518720254
CRI,Costa Rica,Upper middle income,Region of the Americas,0.6390951278975858,0.5941406570986302,0,Developing-country road profile,1,False,-0.10972084178730435
CIV,Côte d'Ivoire,Lower middle income,African Region,-1.5016349603242172,1.2992808757326215,0,Developing-country road profile,1,False,-0.14887341830955436
HRV,Croatia,High income,European Region,2.539245074119132,-1.6911283494449227,1,Rich-country car culture,1,False,-0.11834144706274247
CUB,Cuba,Upper middle income,Region of the Americas,0.4294909873562364,-1.016946629280381,1,Rich-country car culture,1,False,-0.12371077010313908
CYP,Cyprus,High income,European Region,-2.2184713716325426,-6.861774064071808,2,Low-motorization mixed,-1,True,0.027838693985484775
CZE,Czechia,High income,European Region,2.201725478972526,-3.3550193155904524,1,Rich-country car culture,1,False,-0.06001135336533375
COD,Democratic Republic of the Congo,Low income,African Region,-1.9013624661504502,1.1286628591369556,0,Developing-country road profile,1,False,-0.12166644396355397
DNK,Denmark,High income,European Region,3.270830098364227,-2.1341377172354914,1,Rich-country car culture,1,False,-0.09875451552704839
DMA,Dominica,Upper middle income,Region of the Americas,-0.9808459414749232,-0.075386586913984,0,Developing-country road profile,1,False,-0.061301163847293616
DOM,Dominican Republic,Upper middle income,Region of the Americas,-0.4504372382689973,2.4273832578949617,0,Developing-country road profile,1,False,-0.08333184101615121
ECU,Ecuador,Upper middle income,Region of the Americas,-0.9436553242427548,2.294076727419203,0,Developing-country road profile,1,False,-0.09653272516945127
EGY,Egypt,Lower middle income,Eastern Mediterranean Region,0.22807886244331524,2.1474044561886787,0,Developing-country road profile,1,False,-0.08911899223822689
SLV,El Salvador,Lower middle income,Region of the Americas,-1.6147358170198585,1.3304461765305182,0,Developing-country road profile,1,False,-0.13835776613639472
ERI,Eritrea,Low income,African Region,-2.685160466302081,-1.6637819131428326,2,Low-motorization mixed,1,False,-0.06531889924086748
EST,Estonia,High income,European Region,2.287640616306109,-1.8426549719775467,1,Rich-country car culture,1,False,-0.11436480922731762
SWZ,Eswatini,Lower middle income,African Region,-4.142089055539027,-2.0742839630086616,2,Low-motorization mixed,1,False,-0.054147142356266775
ETH,Ethiopia,Low income,African Region,-1.2831015607763185,1.6829625742012335,0,Developing-country road profile,1,False,-0.12537285366117706
FIN,Finland,High income,European Region,3.5077378386436644,-2.0956557445947586,1,Rich-country car culture,1,False,-0.11108996079214828
FRA,France,High income,European Region,5.3872058016931765,-0.126780202211649,1,Rich-country car culture,1,False,-0.09194226089050073
GAB,Gabon,Upper middle income,African Region,-4.730496230153788,-3.282640178475943,2,Low-motorization mixed,1,False,-0.05340800787910738
GMB,Gambia,Low income,African Region,-2.3629246576656895,-0.13092913927488353,0,Developing-country road profile,1,False,-0.10124559825570073
GEO,Georgia,Upper middle income,European Region,-5.22263204266458,-5.792423643650123,2,Low-motorization mixed,-1,True,0.022463702059996593
DEU,Germany,High income,European Region,4.970125707425844,-0.23461719386236393,1,Rich-country car culture,1,False,-0.0606477650311491
GHA,Ghana,Lower middle income,African Region,-1.1311253106232262,1.5799457787448408,0,Developing-country road profile,1,False,-0.1443125945151143
GRC,Greece,High income,European Region,3.9320525478193473,0.10629399294232061,1,Rich-country car culture,1,False,-0.08664437152242954
GTM,Guatemala,Upper middle income,Region of the Americas,-0.7170623130586509,1.8036712964083446,0,Developing-country road profile,1,False,-0.11345324484807229
GIN,Guinea,Low income,African Region,-1.9421185160938481,1.5194436184036457,3,Atypical reporting,1,False,-0.06209487321198959
GNB,Guinea-Bissau,Low income,African Region,-1.529228634287848,1.9562765235451787,0,Developing-country road profile,1,False,-0.11574361770891828
GUY,Guyana,Upper middle income,Region of the Americas,-0.5479316158357512,0.6502858193890885,0,Developing-country road profile,1,False,-0.14732672420101572
HTI,Haiti,Lower middle income,Region of the Americas,-1.5805437663600603,1.5272762368000599,0,Developing-country road profile,1,False,-0.14877315244093464
HND,Honduras,Lower middle income,Region of the Americas,-1.023284400542813,1.6520645427985565,0,Developing-country road profile,1,False,-0.12414016851001625
HUN,Hungary,High income,European Region,4.0589570040000895,-0.9454798299452768,1,Rich-country car culture,1,False,-0.09474902496156629
ISL,Iceland,High income,European Region,1.9225432595453757,-3.257997462485069,1,Rich-country car culture,1,False,-0.06887023700695133
IND,India,Lower middle income,South-East Asia Region,2.645593767733026,4.0196973599992925,0,Developing-country road profile,1,False,-0.028421029510018958
IDN,Indonesia,Lower middle income,South-East Asia Region,1.9532956341862642,3.831682021327917,0,Developing-country road profile,1,False,-5.183948458764576e-05
IRN,Iran (Islamic Republic of),Lower middle income,Eastern Mediterranean Region,-0.8844242545661494,1.9701204451611993,0,Developing-country road profile,1,False,-0.122100829757819
IRQ,Iraq,Upper middle income,Eastern Mediterranean Region,-1.7513741472132263,1.5319773302977593,0,Developing-country road profile,1,False,-0.0794919481350646
