Country name,Population,Income group,WHO Region,GRSSR participation 2009,GRSSR participation 2013,GRSSR participation 2013,GRSSR participation 2015,GRSSR participation 2018,GRSSR participation 2013,GRSSR participation 2013,Reported fatalities,Year reported fatalities,Reported fatalities gender distribution  (% Males),Reported fatalities gender distribution  (%Females),Reported fatalities user distribution  (% powered light vehicles),Reported fatalities user distribution  (% powered 2/ wheelers),Reported fatalities user distribution  (% pedestrian),Reported fatalities user distribution  (% cyclist),Reported fatalities user distribution  (% other),WHO-estimated road traffic fatalities,Lower bound WHO-estimated road traffic fatalities,Upper bound WHO-estimated road traffic fatalities,Year WHO-estimated road traffic fatalities,WHO-estimated rate per 100 000 population,National law on universal access to emergency care,emergency care access legislation not validated,National law guaranteeing free-of-charge access to rehabilitative care for all injured,Access to rehab care legislation not validated,National law guaranteeing free-of-charge access to psychological services to road crash victims and their families,Psychological care access legislation not validated,National good Samaritan law,Good Samaritan law not validated,National emergency care access number,National target for time between serious crash and initial provision of professional emergency care,Year by National target for time between serious crash and initial provision of professional emergency care (year),Total paved kilometres (year),Year total paved kilometres,"Presence of technical standards for new roads that take account of all road-user safety, or align with relevant UN Conventions and regulate compliance with them",On roads technical standards country adheres to corresponding UN or equivalent international safety regulation,Presence of systematic approaches to assess/audit new roads,National law requiring a formal road safety inspection/assessment,Legislation on road inspection/assessment not validated,Target for roads to meet technical safety standards for all users,Year by target for roads to meet technical safety standards for all users (year),Investments to upgrade high risk locations,Total registered vehicles,Total registered vehicles rate per 100 000 pop,Cars and 4-wheeled light vehicles,Powered 2- and 3-wheelers,Heavy trucks,Buses,Other,Legislation on periodic vehicle technical inspection,On VTI country adheres to corresponding UN or equivalent international safety regulation,On VTI corresponding EU regulation mandatory for country.,Year total registered vehicles,Presence of high-quality safety standards for used-vehicle imports/exports 2,National law on front and side impact protection,On front and side impact protection country adheres to corresponding UN or equivalent international safety regulation,On front and side impact protection corresponding EU regulation mandatory for country.,Front and side impact protection legislation not validated,National law on seat belt and seat belt anchorages,Country adheres to corresponding UN or equivalent international safety regulation,Corresponding EU regulation mandatory for country.,National law on electronic stability control,On ESC country adheres to corresponding UN or equivalent international safety regulation,On ESC corresponding EU regulation mandatory for country.,National law on pedestrian protection,On pedestrian protection country adheres to corresponding UN or equivalent international safety regulation,On pedestrian protection corresponding EU regulation mandatory for country.,National law on motorcycle anti-lock braking systems,On ABS country adheres to corresponding UN or equivalent international safety regulation,On ABS corresponding EU regulation mandatory for country.,Government vehicle procurement practices include safety prerequisites,Presence of strategies to promote alternatives to individuals' use of powered vehicles,National road safety strategy,Fatality reduction target,Year by fatality reduction target,Non fatal reduction target (year),Year by non fatal reduction target,Funding to implement strategy,National legislation mandating third-party liability insurance for powered vehicles,Insurance legislation not validated,National law on driving time and rest periods for professional drivers,On driving time legislation country adheres to corresponding UN or equivalent international safety regulation,CP_109_FN66,On driving time legislation  not validated,Adhesion to at least one of the 7 UN core vehicle regulations,Adherence to one or more of the 7 UN road safety conventions,Presence of national lead agency to implement  national road safety action plan,Presence of agencies that  coordinate pre‐hospital and emergency medical services,Legislation setting appropriate urban speed limits for passenger cars and motorcycles,Speed legislation not validated,National law setting a speed limit,Maximum urban speed limit,Maximum rural speed limit,Maximum motorway speed limit,Local authorities can modify limits,Presence of targets to reduce speeds nationally,Year by targets to reduce speeds nationally,Available types of enforcement,Legislation on drink driving,Drink an drive legislation not validated,Alcohol consumption prohibited in country,National law on drink-driving,BAC limit – general population,BAC limit – young or novice drivers,Presence of targets to reduce driving after drinking nationally (year),Year by targets to reduce driving after drinking nationally,Random breath testing carried out,Testing carried out in case of fatal crash,Legislation on drug driving,Drug and diving legislation not validated,Legislation on distracted driving (mobile phones) while driving,Distracted driving legislation not validated,Ban on mobile phone use (Hand held),Ban on mobile phone use (Hand free),Presence of targets to reduce distracted driving nationally,Year by targets to reduce distracted driving nationally (year),Legislation requiring adult motorcycle riders to wear a helmet properly fastened that meets appropriate standards,Helmet legislation not validated,National motorcycle helmet law,Legislation requires helmet fastening,Legislation applies to drivers and passengers,Legislation applies to all road types,Legislation applies to all engine types,Legislation refers to and/or specifies helmet standard,Helmet standard adheres to corresponding UN or equivalent international safety regulation,Helmet standard corresponding EU regulation mandatory for country.,Presence of targets to increase helmet use,Year by target to increase helmet use,Helmet wearing rate (%Driver),Helmet wearing rate (% Passenger),Minimum age/height children are allowed as passengers on motorcycles nationally,Legislation on the use of seat belts for all motor vehicle occupants (UNVTI 8a),Seat belt legislation not validated,National seat-belt law,Legislation applies to front and rear seat occupants,Presence of targets to increase seat belt use,Year by target to increase seat belt use (year),Seat-belt wearing rate  (% Drivers),Seat-belt wearing rate (% front seat occupants),Seat-belt wearing rate  (% rear seat occupants),Legislation requiring the use of child safety restraint systems that meet appropriate standards,CRS legislation not validated,National child restraints use law,Children seated in front seat,Age or height specified for children requiring child restraint,Child restraint standard referred to and/or specified,CRS standard adheres to corresponding UN or equivalent international safety regulation,CRS standard corresponding EU regulation mandatory for country.,Presence of targets to increase child safety restraint use,Year by targets to increase child safety restraint use,Civil Registration and Vital Statistics level,Evolution of frequency and distribution of journeys by modal type,Speeding violations and speeding‐related injuries and fatalities,Driving under the influence of alcohol or drugs  and related road traffic‐related fatalities and injuries,Seat belt  and child-restraint systems use,Powered 2- and 3- wheeler helmet use,Mobile phone use while driving,Evolution of population,Evolution of income group,Evolution of reported fatalities,Evolution of WHO-estimated fatalities,Evolution of WHO-estimated fatality rate,Evolution of presence of systematic approaches to assess/audit new roads,Evolution of investments to upgrade high risk locations,Evolution of total registered vehicles,Evolution of cars and 4-wheeled light vehicles,Evolution of powered 2- and 3-wheelers,Evolution of heavy trucks,Evolution of buses,Evolution of other,Evolution of national emergency care access number,Evolution of strategies to promote alternatives to individuals' use of powered vehicles,Evolution of National road safety strategy,Evolution of fatality reduction target,Evolution of non fatal reduction target,Evolution of national lead agency to implement  national road safety action plan,Evolution Legislation setting appropriate urban speed limits for passenger cars and motorcycles,Evolution of national law setting a speed limit,Evolution of maximum urban speed limit,Evolution of maximum rural speed limit,Evolution of maximum motorway speed limit,Evolution of whether local authorities can modify limits,Evolution of available types of enforcement,Evolution of legislation on drink driving,Evolution of national law on drink-driving,Evolution of BAC limit – general population,Evolution of BAC limit – young or novice drivers,Evolution of Random breath testing carried out,Evolution of Testing carried out in case of fatal crash,Evolution of Legislation on drug driving,Evolution of Legislation on distracted driving (mobile phones) while driving,Evolution on ban on mobile phone use,Evolution of Legislation requiring adult motorcycle riders to wear a helmet properly fastened that meets appropriate standards,Evolution of National motorcycle helmet law,Evolution of presence of targets to reduce driving after drinking nationally,Evolution of legislation applies to drivers and passengers,Evolution of legislation applies to all road types,Evolution of legislation applies to all engine types,Evolution of legislation refers to and/or specifies helmet standard,Evolution of Helmet wearing rate,Evolution of minimum age/height children are allowed as passengers on motorcycles nationally,Evolution of legislation on the use of seat belts for all motor vehicle occupants,Evolution of national seat-belt law,Evolution of legislation applies to front and rear seat occupants,Evolution of seat-belt wearing rate,Evolution of legislation requiring the use of child safety restraint systems that meet appropriate standards,Evolution of national child restraints use law,Evolution of children seated in front seat,Evolution of age or height specified for children requiring child restraint,Evolution of child restraint standard referred to and/or specified,Evolution in Civil Registration and Vital Statistics qualification,Evolution in adhesion UN conventions,Year WHO-estimated road traffic fatalities (Update),Year WHO-estimated road traffic fatalities (Update),2010 WHO-estimated road traffic fatalities (update),2010 Lower bound WHO-estimated road traffic fatalities (update),2010 Upper bound WHO-estimated road traffic fatalities (update),2010 WHO-estimated rate per 100 000 population (update),Year WHO-estimated road traffic fatalities (Update),Year WHO-estimated road traffic fatalities (Update),2016 WHO-estimated road traffic fatalities (update),2016 Lower bound WHO-estimated road traffic fatalities (update),2016 Upper bound WHO-estimated road traffic fatalities (update),2016 WHO-estimated rate per 100 000 population (update)
Afghanistan,40099462,Low income,Eastern Mediterranean Region,2009.0,2013,2023,2015.0,2018.0,2013,2023,738.0,2021,,,,,,,,9684.0,8542.0,10826.0,2021,24.1,,77,No,,No,,No,,"National, multiple numbers",,,11309.0,2021.0,Yes,55,Yes,Yes,,,,Yes,,,,,,,,Yes,,,,No,No,,,,No,,,No,,,No,,,No,,,Yes,No,Yes,,,,,,Yes,,No,,,,False,0,No,"Yes, national",1,,Yes,90.0,90.0,90.0,No,National,2025,,1,,33,Yes,,,National,2025,No,Some (not all) drivers are tested,Yes,,No,,,,,,1,,No,No,,No,No,No,,,"Yes, national",2025,,,No,1,,No,,"Yes, national",2025,,,,1,,No,No,,No,,,No,,4.0,,Yes,Yes,No,Yes,Yes,UP,NO CHANGE,DECREASE,UP,UP,CHANGE,NO CHANGE,,,,,,,CHANGE,NO CHANGE,NO CHANGE,,,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,,,NO CHANGE,NO CHANGE,,,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,,NO CHANGE,NO CHANGE,NO CHANGE,,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,2010,2016,5546.0,4764.0,6328.0,19.7,2010,2016,7106.0,6228.0,7984.0,20.5
Albania,2854710,Upper middle income,European Region,2009.0,2013,2023,2015.0,2018.0,2013,2023,197.0,2021,78.7,21.3,57.4,5.6,19.3,6.6,11.1,309.0,289.0,329.0,2021,10.8,Yes,,Yes,,Yes,,No,,"National, single number",,,,,Yes,55,Yes,Yes,,No,,Yes,740669.0,25945.50759972116,593280.0,44788.0,19542.0,7875.0,75184,Yes,55,,2021.0,Yes,No,55,,,No,55,,No,55,,No,55,,No,55,,No,No,No,,,,,,Yes,,Yes,55,,,True,6,Yes,,3,,Yes,40.0,80.0,110.0,Yes,No,,Manual,2,,,Yes,0.03,0.03,No,,Yes,"Yes, all drivers are tested",Yes,,Yes,,Hand held,,No,,2,,Yes,No,Drivers and Passengers,Yes,Yes,Yes,55,,No,,,,No,3,,Yes,Yes,No,,,,,2,,Yes,Yes,4 y,Yes,55,,No,,4.0,No,,Yes,Yes,Yes,Yes,DOWN,NO CHANGE,DECREASE,DOWN,DOWN,CHANGE,NO CHANGE,UP,INCREASE,INCREASE,DECREASE,INCREASE,INCREASE,CHANGE,NO CHANGE,NO CHANGE,,,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,CHANGE,CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,UP,2010,2016,388.0,364.0,412.0,13.3,2010,2016,370.0,344.0,395.0,12.8
Algeria,44177969,Lower middle income,African Region,,,2023,2015.0,,,2023,3322.0,2021,,,0.0,0.0,25.0,0.0,75.0,8106.0,7119.0,9094.0,2021,18.3,Yes,,Yes,,Yes,,No,,"National, single number",,2030,,,Yes,,Yes,No,,,,Yes,8720015.0,19738.37910022527,5432965.0,371985.0,510341.0,125657.0,,Yes,,,2021.0,,No,,,,Yes,,,Yes,,,No,,,Yes,,,Yes,,Yes,50.0,2030.0,50,2030,,Yes,,Yes,,,,True,1,Yes,"Yes, national",3,,Yes,50.0,100.0,120.0,Yes,,,Manual,3,,,Yes,0.02,0.02,,,Yes,Some (not all) drivers are tested,Yes,,Yes,,Hand held,,,,2,,Yes,No,Drivers and Passengers,Yes,Yes,No,,,"Yes, national",2030,60,,No,3,,Yes,Yes,"Yes, national",2030,,,,1,,No,Yes,,No,,,,,4.0,Partially,,,,,,UP,DOWN,INCREASE,NO CHANGE,NO CHANGE,CHANGE,NO CHANGE,UP,,,,,,NO CHANGE,,NO CHANGE,CHANGE,,,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,ADVANCEMENT,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,CHANGE,CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,,CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,,NO CHANGE,NO CHANGE,NO CHANGE,CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,2010,2016,8039.0,7231.0,8848.0,22.4,2010,2016,8536.0,7558.0,9514.0,21.2
Antigua and Barbuda,93219,High income,Region of the Americas,,,2023,2015.0,2018.0,,2023,7.0,2021,86.0,14.0,57.0,0.0,43.0,0.0,0.0,7.0,12.0,14.0,2021,7.5,No,,No,,No,,No,,"National, single number",,,,,No,,No,No,,No,,No,46722.0,50120.68355163647,37540.0,878.0,3354.0,1602.0,878,,,,2021.0,Yes,No,,,,No,,,No,,,No,,,No,,,Yes,,No,,,,,,Yes,,No,,,,False,0,Yes,"Yes, national",2,,Yes,32.0,64.0,,No,No,,Manual,1,,,Yes,,,National,,No,No,Yes,,No,,,,,,1,,No,No,,No,No,No,,,"Yes, national",,,,No,1,,No,,"Yes, national",2030,,,,1,,No,No,,No,,,"Yes, national",,3.0,,Yes,Yes,No,No,Yes,UP,UP,DECREASE,,,CHANGE,CHANGE,UP,,,,,,ADVANCEMENT,,NO CHANGE,,,,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,,,ADVANCEMENT,NO CHANGE,NO CHANGE,,,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,,NO CHANGE,NO CHANGE,ADVANCEMENT,NO CHANGE,NO CHANGE,ADVANCEMENT,NO CHANGE,2010,2016,5.0,5.0,5.0,5.8,2010,2016,8.0,7.0,9.0,8.8
Argentina,45276780,Upper middle income,Region of the Americas,2009.0,2013,2023,2015.0,2018.0,2013,2023,3863.0,2021,79.0,20.0,31.6,46.3,10.9,3.4,7.799999999999999,3983.0,3743.0,4223.0,2021,8.8,Yes,,Yes,,Yes,,No,,"National, multiple numbers",,,40188.0,2019.0,Yes,,No,Yes,,,,Yes,26413085.0,58336.9334126676,16754756.0,9181655.0,244717.0,231957.0,476674,Yes,,,2021.0,Yes,Yes,,,,Yes,,,Yes,,,Yes,,,Yes,,,Yes,,Subnational,30.0,2030.0,50,2030,"Yes, fully funded",Yes,,No,,,,True,1,Yes,"Yes, subnational",1,,Yes,60.0,110.0,130.0,Yes,,,Manual,2,,,Yes,0.05,0.05,National,2025,Yes,Some (not all) drivers are tested,Yes,,Yes,,Hand held,Hand free,National,2025,3,,Yes,Yes,Drivers and Passengers,Yes,Yes,Yes,,,"Yes, national",2025,68.7,42,No,3,,Yes,Yes,"Yes, national",2025,55,42.8,19.9,3,,Yes,Yes,10 y,Yes,,,"Yes, national",2025,1.0,Yes,Yes,Yes,Yes,Yes,Yes,UP,NO CHANGE,DECREASE,DOWN,DOWN,CHANGE,NO CHANGE,UP,,,,,,CHANGE,,NO CHANGE,CHANGE,CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,CHANGE,CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,,ADVANCEMENT,NO CHANGE,NO CHANGE,CHANGE,ADVANCEMENT,NO CHANGE,NO CHANGE,2010,2016,5252.0,4976.0,5528.0,12.8,2010,2016,5755.0,5435.0,6075.0,13.2
Armenia,2790974,Upper middle income,European Region,2009.0,2013,2023,2015.0,2018.0,2013,2023,368.0,2021,75.5,24.5,68.19999999999999,0.0,31.8,0.0,0.0,379.0,350.0,409.0,2021,13.6,,77,No,,,77,,77,"National, single number",,,,,Yes,55,Yes,Yes,,,,Yes,,,,,,,,,,,2021.0,Yes,,55,,77,,55,,,55,,,55,,,55,,,No,No,,,,,,,77,,55,,77,True,4,Yes,"Yes, national",1,,Yes,90.0,90.0,110.0,No,National,,Manual,2,,,Yes,0.04,0.04,National,,No,"Yes, all drivers are tested",Yes,,Yes,,Hand held,,National,,2,,Yes,Yes,Drivers and Passengers,Yes,Yes,No,55,,"Yes, national",,,,Yes (12 y),3,,Yes,Yes,"Yes, national",,0,,,1,,No,Yes,,No,55,,"Yes, national",,1.0,Partially,Yes,Yes,Yes,Yes,Yes,DOWN,UP,INCREASE,DOWN,DOWN,CHANGE,ADVANCEMENT,,,INCREASE,,,,NO CHANGE,ADVANCEMENT,NO CHANGE,,,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,CHANGE,UP,2010,2016,473.0,440.0,506.0,16.1,2010,2016,501.0,456.0,546.0,17.5
Australia,25921089,High income,Western Pacific Region,2009.0,2013,2023,2015.0,2018.0,2013,2023,1128.0,2021,74.0,26.0,0.0,17.0,12.0,4.0,67.0,1163.0,1086.0,1240.0,2021,4.5,Yes,,Yes,,No,,Yes,,"National, single number",,,381185.0,2015.0,Yes,,Yes,No,,Yes,2030,Yes,20142942.0,77708.70274778965,18270132.0,913803.0,662245.0,97060.0,99702,Yes,,,2021.0,Yes,Yes,55,,,Yes,,,Yes,55,,Yes,55,,Yes,,,Yes,"Yes, national",Yes,50.0,2030.0,30,2030,"Yes, partially funded",Yes,,No,,,,True,3,Yes,"Yes, subnational",3,,Yes,50.0,130.0,130.0,Yes,National,2030,Manual,3,,,Yes,0.05,0.0,National,2030,Yes,"Yes, all drivers are tested",Yes,,Yes,,Hand held,,National,2030,3,,Yes,Yes,Drivers and Passengers,Yes,Yes,Yes,,,"Yes, national",2030,98,,Yes (8 y),3,,Yes,Yes,"Yes, national",,99.3,,,2,,Yes,Yes,7 y,Yes,,,"Yes, national",2030,1.0,Yes,Yes,Yes,Yes,Yes,Yes,UP,NO CHANGE,DECREASE,DOWN,DOWN,CHANGE,NO CHANGE,UP,INCREASE,INCREASE,INCREASE,INCREASE,DECREASE,NO CHANGE,CHANGE,NO CHANGE,CHANGE,CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,CHANGE,CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,2010,2016,1445.0,1355.0,1536.0,6.6,2010,2016,1335.0,1253.0,1417.0,5.5
Austria,8922082,High income,European Region,2009.0,2013,2023,2015.0,2018.0,2013,2023,362.0,2021,,,44.75,24.31,10.22,13.81,6.91,409.0,386.0,432.0,2021,4.6,,77,,77,,77,,77,,,,2249.0,2021.0,Yes,55,Yes,Yes,,Yes,,Yes,,,5166333.0,877045.0,54646.0,10136.0,,Yes,,66,,No,Yes,,66,,Yes,55,66,Yes,55,66,Yes,55,66,Yes,55,66,,,Yes,50.0,2030.0,50,2030,,,77,Yes,55,66.0,,True,6,Yes,,3,,Yes,50.0,100.0,130.0,Yes,National,,Manual,3,,,Yes,0.05,0.01,National,,Yes,No,Yes,,Yes,,Hand held,,,,2,,Yes,No,Drivers and Passengers,Yes,Yes,Yes,55,66,"Yes, national",,,,Yes (12 y / Reach footrest),3,,Yes,Yes,"Yes, national",,,,,3,,Yes,Yes,14 y / 150 cm,Yes,55,66,"Yes, national",,1.0,Yes,Yes,Yes,Yes,Yes,Yes,UP,NO CHANGE,DECREASE,DOWN,DOWN,CHANGE,NO CHANGE,,INCREASE,INCREASE,DECREASE,INCREASE,,,,NO CHANGE,CHANGE,N(A,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,CHANGE,CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,INCREASE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,UP,2010,2016,569.0,540.0,598.0,6.8,2010,2016,445.0,422.0,469.0,5.1
Azerbaijan,10312992,Upper middle income,European Region,2009.0,2013,2023,2015.0,2018.0,2013,2023,706.0,2021,79.0,21.0,51.8,0.9,42.0,0.9,4.4,1769.0,1635.0,1904.0,2021,17.2,,77,,77,,77,,77,,,,18816.0,2021.0,Yes,55,Yes,Yes,,,,Yes,1591786.0,15434.76422749092,1361560.0,5284.0,161279.0,30815.0,38135,,,,2021.0,No,,,,77,,,,,55,,,55,,,55,,,,Yes,,,,,,,77,,55,,77,True,5,Yes,,1,,Yes,60.0,90.0,110.0,No,,,,1,,,Yes,,,,,No,No,Yes,,Yes,,Hand held,,,,2,,Yes,No,Drivers and Passengers,Yes,Yes,No,,,,,,,Yes (12 y),1,,Yes,,,,,,,1,,No,Yes,,No,,,,,4.0,,Yes,Yes,No,Yes,,UP,NO CHANGE,DECREASE,DOWN,DOWN,CHANGE,ADVANCEMENT,UP,INCREASE,INCREASE,INCREASE,INCREASE,INCREASE,,,,,,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,,,NO CHANGE,NO CHANGE,,,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,ADVANCEMENT,NO CHANGE,2010,2016,2242.0,2015.0,2469.0,24.3,2010,2016,2096.0,1925.0,2268.0,21.0
Bahamas,407906,High income,Region of the Americas,2009.0,2013,2023,2015.0,,2013,2023,50.0,2021,,,0.0,0.0,28.0,0.0,72.0,66.0,59.0,72.0,2021,16.2,No,,No,,No,,No,,Partial coverage,,,,,Yes,,Yes,No,,No,,No,,,,,,,,Yes,,,2021.0,Yes,No,,,,Yes,,,No,,,No,,,No,,,,No,No,,,,,,Yes,,No,,,,True,1,Yes,"Yes, national",3,,Yes,40.0,48.0,72.0,Yes,,,Speed limiters,1,,,Yes,0.08,0.08,,,Yes,"Yes, all drivers are tested",Yes,,No,,,,,,2,,Yes,No,Drivers and Passengers,Yes,Yes,Yes,,,,,,,No,3,,Yes,Yes,,,,,,1,,Yes,No,,No,,,,,1.0,,,Yes,No,No,No,UP,NO CHANGE,INCREASE,UP,UP,CHANGE,NO CHANGE,,,,,,,ADVANCEMENT,ADVANCEMENT,NO CHANGE,NO CHANGE,,NO CHANGE,ADVANCEMENT,NO CHANGE,,,,NO CHANGE,ADVANCEMENT,NO CHANGE,NO CHANGE,DOWN,DOWN,CHANGE,ADVANCEMENT,ADVANCEMENT,NO CHANGE,CHANGE,CHANGE,NO CHANGE,CHANGE,CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,,NO CHANGE,CHANGE,CHANGE,CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,2010,2016,45.0,41.0,49.0,12.1,2010,2016,53.0,48.0,58.0,13.4
